filename,date,year,month,title,word_count,category,is_repost
2018-10-30_【重磅来袭】中国基金会发展论坛·2018年会，苏州约起！.txt,2018-10-30,2018,10,【重磅来袭】中国基金会发展论坛·2018年会，苏州约起！,967,行业洞察,False
2018-11-08_公益组织成员少、流动性大 如何减少因「人」的问题导致「流产」的情况.txt,2018-11-08,2018,11,公益组织成员少、流动性大 如何减少因「人」的问题导致「流产」的情况,1610,公益项目,False
2018-11-10_给公益组织的双11清单 “早点下班不是梦”  (内含彩蛋）.txt,2018-11-10,2018,11,给公益组织的双11清单 “早点下班不是梦”  (内含彩蛋）,1895,评估方法,False
2018-12-12_好项目成长干货：内在逻辑、档案管理两手抓（内含工具大礼包）.txt,2018-12-12,2018,12,好项目成长干货：内在逻辑、档案管理两手抓（内含工具大礼包）,2460,评估方法,False
2018-12-20_转载 ｜ 读懂《关于建立健全基本公共服务标准体系的指导意见》.txt,2018-12-20,2018,12,转载 ｜ 读懂《关于建立健全基本公共服务标准体系的指导意见》,4134,政策动态,True
2018-12-20_国家发展改革委有关负责人就《关于建立健全基本公共服务标准体系的指导意见》答记者问.txt,2018-12-20,2018,12,国家发展改革委有关负责人就《关于建立健全基本公共服务标准体系的指导意见》答记者问,2383,政策动态,False
2019-01-03_阿里公益×i 志愿大学  以专业志愿服务为始，为团队埋下赋能的种子.txt,2019-01-03,2019,1,阿里公益×i 志愿大学  以专业志愿服务为始，为团队埋下赋能的种子,2282,行业洞察,False
2019-01-30_评估从来不是一件简单的事情.txt,2019-01-30,2019,1,评估从来不是一件简单的事情,3235,评估方法,False
2019-03-08_和我们一起激起变化的涟漪丨公益评估实习招聘.txt,2019-03-08,2019,3,和我们一起激起变化的涟漪丨公益评估实习招聘,2401,评估方法,False
2019-03-29_地球一小时丨还在问“熄灯有什么用？” 点开看就知道为什么了！.txt,2019-03-29,2019,3,地球一小时丨还在问“熄灯有什么用？” 点开看就知道为什么了！,3243,评估方法,False
2019-04-24_如何积极调动青年力量，推动社区可持续改善？（上）.txt,2019-04-24,2019,4,如何积极调动青年力量，推动社区可持续改善？（上）,6560,ESG/可持续,False
2019-04-24_这一次，我们想与你谈谈公益行业中的“钱”.txt,2019-04-24,2019,4,这一次，我们想与你谈谈公益行业中的“钱”,1401,评估方法,False
2019-05-05_评估全职招聘丨希望我们提供的是你想要的，而你恰好也是我们想要的.txt,2019-05-05,2019,5,评估全职招聘丨希望我们提供的是你想要的，而你恰好也是我们想要的,2553,评估方法,False
2019-05-08_开启你的评估思维丨如何积极调动青年力量，推动社区可持续性改善？（下）.txt,2019-05-08,2019,5,开启你的评估思维丨如何积极调动青年力量，推动社区可持续性改善？（下）,1655,评估方法,False
2019-06-19_「转」范式的升级｜u.lab-S（社会创新实验室）-团聚篇.txt,2019-06-19,2019,6,「转」范式的升级｜u.lab-S（社会创新实验室）-团聚篇,2411,评估方法,True
2019-06-19_“冰桶挑战”过后，别忘留存这些关键数据以便后续项目评估.txt,2019-06-19,2019,6,“冰桶挑战”过后，别忘留存这些关键数据以便后续项目评估,3969,评估方法,False
2019-07-18_“数据共生计划”全国招募丨让核心相关方更懂您的公益项目.txt,2019-07-18,2019,7,“数据共生计划”全国招募丨让核心相关方更懂您的公益项目,2741,行业洞察,False
2019-07-29_“数据共生计划”报名倒计时丨带您用数据呈现公益项目的价值.txt,2019-07-29,2019,7,“数据共生计划”报名倒计时丨带您用数据呈现公益项目的价值,2525,行业洞察,False
2019-08-20_公益项目数据怎么用？“数据共生计划”见面会精华内容曝光.txt,2019-08-20,2019,8,公益项目数据怎么用？“数据共生计划”见面会精华内容曝光,1907,评估方法,False
2019-08-28_助力99公益日，国内首套公益项目关键数据可视化图表｜“数据共生计划”特辑.txt,2019-08-28,2019,8,助力99公益日，国内首套公益项目关键数据可视化图表｜“数据共生计划”特辑,2574,评估方法,False
2019-09-04_99公益日，我没有被公益故事煽情，却多捐了￥10...这是为什么？.txt,2019-09-04,2019,9,99公益日，我没有被公益故事煽情，却多捐了￥10...这是为什么？,3300,公益项目,False
2019-09-04_助力99公益日，国内首套公益项目关键数据可视化图表｜“数据共生计划”特辑.txt,2019-09-04,2019,9,助力99公益日，国内首套公益项目关键数据可视化图表｜“数据共生计划”特辑,2574,评估方法,False
2019-10-17_公益项目成员的哪些工作习惯，会极大提升项目的效能丨数据共生计划.txt,2019-10-17,2019,10,公益项目成员的哪些工作习惯，会极大提升项目的效能丨数据共生计划,2418,评估方法,False
2019-10-17_共益生态丨SocialWiki联合益生信赋能高校社团，共建兴趣技能知识图谱.txt,2019-10-17,2019,10,共益生态丨SocialWiki联合赋能高校社团，共建兴趣技能知识图谱,291,评估方法,False
2019-10-30_公益项目管理漫话丨数据表的“革新”+日志的“鲇鱼效应”.txt,2019-10-30,2019,10,公益项目管理漫话丨数据表的“革新”+日志的“鲇鱼效应”,2836,评估方法,False
2019-11-14_认认真真工作，开开心心成长丨持续招聘公益项目评估实习生.txt,2019-11-14,2019,11,认认真真工作，开开心心成长丨持续招聘公益项目评估实习生,1668,评估方法,False
2020-01-09_面试怎么谈薪？这次招聘不一般 丨公益项目评估全职招聘.txt,2020-01-09,2020,1,面试怎么谈薪？这次招聘不一般 丨公益项目评估全职招聘,1709,评估方法,False
2020-01-15_来自评估人的干货祝福：一手掌握一年的精华 领取新春知识福袋！.txt,2020-01-15,2020,1,来自评估人的干货祝福：一手掌握一年的精华 领取新春知识福袋！,1138,评估方法,False
2020-01-16_来自评估人的干货祝福：一手掌握一年的精华 领取新春知识福袋！.txt,2020-01-16,2020,1,来自评估人的干货祝福：一手掌握一年的精华 领取新春知识福袋！,1138,评估方法,False
2020-03-03_公益 x 技术 玩着把活儿给干了！丨招技术研发实习生.txt,2020-03-03,2020,3,公益 x 技术 玩着把活儿给干了！丨招技术研发实习生,929,评估方法,False
2020-04-02_​给孩子选自闭症康复机构，家长怎么做到心里有谱？.txt,2020-04-02,2020,4,​给孩子选自闭症康复机构，家长怎么做到心里有谱？,4056,健康医疗,False
2020-04-22_在“时代的一粒灰”面前：凭什么我们这样的普通人会被需要？.txt,2020-04-22,2020,4,在“时代的一粒灰”面前：凭什么我们这样的普通人会被需要？,2655,其他,False
2020-05-07_这里氛围开心 项目明确 丨公益项目评估实习生招聘.txt,2020-05-07,2020,5,这里氛围开心 项目明确 丨公益项目评估实习生招聘,1707,评估方法,False
2020-05-15_助残日在线交流｜专家、机构、评估方：有效助残服务的实践与发展.txt,2020-05-15,2020,5,助残日在线交流｜专家、机构、评估方：有效助残服务的实践与发展,1357,评估方法,False
2020-05-17_助残日：从残障人士的角度出发，什么是最好的帮助？.txt,2020-05-17,2020,5,助残日：从残障人士的角度出发，什么是最好的帮助？,1824,公益项目,False
2020-05-17_往期精选｜助残服务如火如荼，了解我国政府购买助残服务.txt,2020-05-17,2020,5,往期精选｜助残服务如火如荼，了解我国政府购买助残服务,2146,评估方法,False
2020-05-17_往期精选｜政购助残服务多元化、精品化、专业化 第三方评估如何应对发展趋势？.txt,2020-05-17,2020,5,往期精选｜政购助残服务多元化、精品化、专业化 第三方评估如何应对发展趋势？,2768,政策动态,False
2020-05-22_精华版｜“有效助残服务的实践与发展”线上交流了哪些干货？.txt,2020-05-22,2020,5,精华版｜“有效助残服务的实践与发展”线上交流了哪些干货？,6108,评估方法,False
2020-06-03_应对评估，总要准备大量书面材料怎么办？｜“有效助残服务”圆桌对话回顾.txt,2020-06-03,2020,6,应对评估，总要准备大量书面材料怎么办？｜“有效助残服务”圆桌对话回顾,8095,评估方法,False
2020-06-04_一篇俱全！共同看见，如何用评估提升公共服务的有效性？｜线上交流回顾.txt,2020-06-04,2020,6,一篇俱全！共同看见，如何用评估提升公共服务的有效性？｜线上交流回顾,5752,评估方法,False
2020-06-24_禁毒民警唱的《Mojito》再火，也抵不过“毒品饮料”？丨禁毒预防教育的难点与启示（上）.txt,2020-06-24,2020,6,禁毒民警唱的《Mojito》再火，也抵不过“毒品饮料”？丨禁毒预防教育的难点与启示（上）,2708,公益项目,False
2020-06-30_收藏阅读：禁毒月过后的深层次预防工作建议 ｜ 禁毒预防教育的难点与启示（下）.txt,2020-06-30,2020,6,收藏阅读：禁毒月过后的深层次预防工作建议 ｜ 禁毒预防教育的难点与启示（下）,4146,其他,False
2020-08-04_招社工研究生，有工作经验更佳！丨评估咨询全职招聘.txt,2020-08-04,2020,8,招社工研究生，有工作经验更佳！丨评估咨询全职招聘,1803,评估方法,False
2020-09-14_慈展会预告：用“小数据”打通公益项目管理丨我们在深圳见个面吧！.txt,2020-09-14,2020,9,慈展会预告：用“小数据”打通公益项目管理丨我们在深圳见个面吧！,1671,评估方法,False
2020-09-16_不能深入实地做项目的“需求调研”怎么办？别慌，还能“抢救”！.txt,2020-09-16,2020,9,不能深入实地做项目的“需求调研”怎么办？别慌，还能“抢救”！,2054,评估方法,False
2020-09-16_慈展会预告：用“小数据”打通公益项目管理丨我们在深圳见个面吧！.txt,2020-09-16,2020,9,慈展会预告：用“小数据”打通公益项目管理丨我们在深圳见个面吧！,1716,评估方法,False
2020-09-16_评估对公益项目的作用到底在哪？我们的回应是.txt,2020-09-16,2020,9,评估对公益项目的作用到底在哪？我们的回应是,1078,评估方法,False
2020-09-18_开篇丨以一个国际社区备灾案例读懂逻辑模型.txt,2020-09-18,2020,9,开篇丨以一个国际社区备灾案例读懂逻辑模型,2084,评估方法,False
2020-09-29_慈展会精华丨小组织也能发挥大势能，来自一家评估机构的心声（内含国庆福利，赠送逻辑模型游戏盒子）.txt,2020-09-29,2020,9,慈展会精华丨小组织也能发挥大势能，来自一家评估机构的心声（内含国庆福利，赠送逻辑模型游戏盒子）,3147,评估方法,False
